platform,press,keyword,comment
news,연합뉴스,이재명,"사돈될 분 강심장. 수 틀리면 안사돈 찢,장모님 쑤, 이년이 폭탄 테러 당할텐데~ 대통령 사돈 된다고 알면서 딸을 내주는건가 진심 궁금하다"
news,연합뉴스,이재명,유성 리베라호텔 장부에 니 이름이 왜 기록되어있는지나 밝혀라. 그것도 수백만원대던데.
news,연합뉴스,이재명,"솔직히 그 사건이 있는 것도 알고 있고 민주, 국힘 할 거 없이 위선이라는 것도 알고 있음. 하지만 적어도 새로운 정치 하겠다는 너도 3번의 대선 토론동안 네거티브 공세만 하는 건 아니라고 생각이 든다. 특히나 검증을 위해서라고 하지만 결국은 자극적인 이슈를 강조하는 것 뿐이잖아. 똑똑한 정치, 지금 와서 생각하면 우습지만 품격있는 보수, 그런 타이틀은 다 어디에 팔아먹고 TV에서 검증이랍시고 이야기를 던지는데 솔직한 말로는 이제 개혁신당의 방향성도 모르겠고, 친윤 친한처럼 친이계로 묶은 게 개혁신당 아닌가 싶어질 정도다..."
news,연합뉴스,이재명,이구 우리 준석이 꼬리표가 자란다 자란다 자란다.
news,연합뉴스,이재명,민주당이랑 그쪽애들은 지들문제는 축소시키고 적한테는 확대시킴ㅋㅋ
news,연합뉴스,이재명,이재명 큰 아들이 여자걸그룹한테 뭐라는지 압니까?먹고싶다.//젓가락으로 여자에 거시기 쑤시고 싶다. 이런 이야기를 한 인간 말종입니다. 이재명이 대통령되면 그 아들이 대통령 아들이라고 행패부릴거 생각하면 끔직하지 않습니까? 그런데도 이재명 찍겠다는 인간이 있다는 것이 끔찍한 겁니다. 오히려 이재명보다 너 나쁜인간이 이런자를 지지하는 인간임.
news,연합뉴스,이재명,이준석아 정치하지 말고 가세연으로 가라
news,연합뉴스,이재명,정말로 섬찍하고 무서운 패밀리네. 저러구도 동상이뭉에 나와? 에라이!
news,연합뉴스,이재명,3번의 토론동안 답변 한번 제대로 못 한 사람보다 사람들에게 범죄 사실을 알려준 한 마디가 파급이 더 큰게 말이되냐?
news,연합뉴스,이재명,막판 내거티브는 오히려 본인에게 마이너스. 하긴 지금 이재명을 따라잡을 방법은 그 방법밖에 없긴 하지
news,연합뉴스,이재명,까도 까도 계속 나오 는 양파가족....ㅋㅋ ....부전자전.....이동호 벌금 500만원....이동호 댓글봐라....
