keyword,comment,nouns_adjs
이재명,이준석 국민연금 신 구로 분리하면 구연금은 계속줘야하는데 신규로 들어오는 돈은 없으니 결국 국고 투입해서 부채해결하겠단건데 현실적으로 크게 유의미한 개혁안이 아니라고봄 옛날에 노무현때 내놨던 국민연금 받는 나이 늦추고 현재 일하는 사람들이 조금 더 내는 개혁안이 제일 현실적일거라고 보는데 솔직히 표얻기 힘든 공약이긴 함 나중에 지금 출생하는 얘들 부담 덜려면 지금 20대부터 포함해서 번돈에서 국민연금 더내고 받을 나이 늦춰야하는데 누가 돈더내고 늦게 받게하는 당에 표를 주겠냐 특히 노인들은 연금 수령 늦춘다하니까 당시 노무현 개혁안 욕하고 야당에서도 반대해서 무산되긴 했는데 그때 됐어야함 실질적으로 국민연금 해결하려면 늦게받고 지금 돈버는 세대가 더 많이 내야함 물론 이거 공약으로 걸면 표는 못받겠지,"['이준석', '국민연금', '신', '구', '분리', '구', '연금', '신규', '돈', '없', '국고', '투입', '부채', '해결', '거', '현실', '크', '유의미', '개혁', '안', '옛날', '노무현', '때', '국민연금', '나이', '일', '사람', '개혁', '안', '현실', '거', '표', '힘들', '공약', '나중', '출생', '부담', '대', '포함', '돈', '국민연금', '나이', '돈', '늦', '당', '표', '노인', '연금', '수령', '당시', '노무현', '개혁안', '욕', '야당', '반대', '무산', '그때', '실질', '국민연금', '해결', '늦', '돈', '세대', '거', '공약', '표']"
이재명,여성1인가구,"['여성', '인', '가구']"
이재명,기호5번 권영국 후보 민주노동당 와 다른 후보들은 없나요 얼마나 지지를 얻을지 모르지만 알고 싶어요,"['기호', '번', '권', '영국', '후보', '민주노동당', '후보', '없', '지지', '지']"
이재명,이준석 국민연금 정책 저거 나도 올해 2월에 구상했었는데,"['이준석', '국민연금', '정책', '올해', '월', '구상']"
이재명,남성 1인 가구지원은 없나요,"['남성', '인', '가구', '지원', '없']"
이재명,국민연금없애는 사람 뽑는다,"['국민연금', '사람']"
이재명,답은하나네 이재명이 대통령되서 야당의견 대폭수렴하는것,"['답', '이재명', '대통령', '야당', '의견', '수렴', '것']"
이재명,이재명 지지를 참 신박하게 표현하시네요,"['이재명', '지지', '박', '표현']"
이재명,이재명은 지옥안가나요,"['이재명', '지옥']"
이재명,전과4범은 쫌 음 나중에 당선되면 전과있는 사람들 다 면죄부 되나요,"['전과', '범', '나중', '당선', '전', '사람', '면죄부']"
이재명,주님 이재명이 법앞에서 평등하다는걸 알게 해주소서 본인이 유죄라는걸 망각하게 하지마시고 꼭 깨닫게 알려주소서,"['주', '이재명', '법', '앞', '평등', '거', '본인', '유죄', '거', '망각']"
이재명,이재명 대선 후보자가 승리하는 날까지,"['이재명', '대선', '후보자', '승리', '날']"
이재명,왜 이렇게 다들 이재명을 싫어하는거냐 이재명이 공무원자격사칭을 했냐 이재명이 음주운전을해서 면허취소가 되기라도 했냐 이재명이 음주운전보다 초보운전이 위험하다고 했냐 이재명이 특수공무집행 방해 및 공용물건을 손상했냐 이재명이 공직선거법 위반이라도 했냐 이재명이 변호사비 대납이라도 했냐 이재명이 잘 모르는 대학의 석사가 필요하겠냐고 했냐 이재명이 성남FC 후원금 문제로 기소를 당하기라도 했냐 이재명이 대장동 개발 사업에 로비를 했냐 이재명이 백현동 용도변경 논란에 휩싸이기라도 했냐 이재명이 업무추진비로 하루 18번 식사라도 했냐 이재명이 유기견을 파양했냐 이재명이 경기도 기숙사를 무단 사용이라도 했냐 이재명이 박정희 묘를 파서 박근혜를 옆에 묻자고했냐 이재명이 택시는 마지막에 하는 하찮은 직업이라고 했냐 이재명 아들이 언제 연예인보고 먹고싶다고 댓글 달기라도 했냐 이재명이 총각사칭이라도 했냐 이재명이 황교익을 관광공사 사장직에 앉히기라도 했냐 이재명이 대북송금 혐의로 기소를 당하기라도 했냐 이재명이 러우전쟁이 젤렌스키 탓이라고 했냐 이재명이 여성시대에 인증글을 작성하기라도 했냐 이재명이 자신은 1베출신이라고 밝히기라도 했냐 이재명이 518은 라고했냐 이재명 마누라가 전라도비하발언이라도 했냐 이재명이 김문기 몰랐다 라고 허위진술하기라도 했냐 이재명 부인이 법인카드를 사적으로 사용했냐 이재명 부인이 공직선거법 위반을 했냐 이재명이 총각사칭이라도 했냐 이재명 장남이 도박 및 성매매를 했냐 이재명 조카가 일가족 살인이라도 했냐 이재명이 자기조카 살인변호라도 했냐 이재명이 인천은 외지인 사는 곳이라고 비하라도 했냐 이재명이 월25만원 기본소득 주장이라도 했냐 이재명이 경기도지사때 경제성장률 마이너스 찍기라도했냐 경기도 부채를 1조5천억을 지기라도 했냐 이재명이 베네수엘라 대통령 존경한다고 했냐 이재명이 대한민국은 기축통화국이라고 했냐 이재명이 김포공항 수직이착륙 같은 소리를 했냐 이재명이 거대야당 가지고 자기 방탄용 법 개정이라도 했냐 이재명이 자기조사하는 검사 탄핵이라도 했냐 이재명이 국정마비시키려고 31번줄탄핵이라도 했냐 이재명이 형보수지 찢으려고 하기라도 했냐 이재명이 우리 북한의 김일성 김정일의 노력을 폄훼하지마라는 말을했냐 이재명이 언제 북한가서 사진찍기라도 했냐 이재명이 언제 중국에 집적거리지말고 셰셰하자고 했냐 이재명이 언제 산불 피해자들한테 욕을했냐 이재명이 언제 존경한다고했더니 정말 존경하는줄 아냐고 했냐 어느외국인이 이재명보고 관상이 마피아라고 했냐 이재명 최측근들이 드럼통에 넣어지기라도 했냐 주변인물7명이 의문사 당하기라도했냐 자살안한다던사람이 자살하기라도 했냐 이재명이 친형을 정신병원에 감금시키기라도 했냐 이재명이 간첩이 어딨냐며 국보법 국정원 폐지하자고 했냐 이재명이 미군을 점령군이 라고 표현하기라도 했냐 이재명이 주한미군 철수하자고 했냐 이재명이 사드철회하자고 했냐 이재명이 언제 중국에 새해인사했냐 이재명이 언제 민주주의에서 자유빼자고 했냐 이재명이 언제 토지를 다 국가로 환수해서 재분배하자고 했냐 이재명이 언제 K엔비디아만들어서 국민들한테 나눈다했냐 이재명이 삼성해체해서 국유화시키자고 했냐 이재명이 언제 10년강제 전세입자법 통과하자했냐 이재명이 언제 주식 부동산 불로소득 강제 환수법 추진하자 했냐 이재명이 언제 시민 밀치고 의자에서 연설을 했냐 이재명이 전과4범이기라도하냐 이재명이 이번에 전과5범이 되기라도 했냐 이재명이 언제 무죄는 재판진행하고 유죄는 재판정지 시키고 내말 안듣는 판사들은 다 탄핵 한다했냐 이재명이 언제 삼권분립을 끝내자고 했냐 이재명이 언제 대법관30명에 일반인 넣자고 했냐 이재명이 언제 정치인 나쁜짓하기좋다고 했냐 이재명이 자기 무죄인거만 재판 해야한다고 했냐 이재명이 자기 유죄 주는 판사는 다 탄핵시킨다했냐 이재명이 방탄복입고 총맞는다고 쑈하기라도했냐 이재명이 언제 연임제해서 푸틴처럼 평생 해먹고싶다했냐 이재명이 언제 커피원가120원 이랬냐 이재명이 언제 호텔경제론을 펼쳤냐 이재명이 언제 남한이 탱크 끌고 북한간다했냐 이재명이 탈원전하고 태양광풍력으로 산림 다박살내고 깐다했냐 이재명이 돈살포로 코스피5000찍는다 했냐 이재명이 언제 남의집 불구경 홍수구경 싸움구경이 제일 재밌냐고했냐 이재명이 언제 국채발행한건 국민이 사는거라고 했냐 난 진짜 이재명이 왜 이렇게 욕을 먹는지 도무지 모르겠다 이재명좀 그만억까해라 오로지 어대명,"['이재명', '거', '이재명', '공무원', '자격', '사칭', '이재명', '음주', '운전', '면허', '취소', '이재명', '음주운전', '초보', '운전', '위험', '이재명', '특수', '공무', '집행', '방해', '공용', '물건', '손상', '이재명', '공직', '선거법', '위반', '이재명', '변호사', '비', '대납', '이재명', '대학', '석사', '필요', '이재명', '성남', '후원금', '문제', '기소', '이재명', '대장동', '개발', '사업', '로비', '이재명', '백현동', '용도', '변경', '논란', '이재명', '업무', '추진비', '하루', '번', '식사', '이재명', '유기', '견', '양', '이재명', '경기도', '기숙사', '무단', '사용', '이재명', '박정희', '묘', '박근혜', '옆', '이재명', '택시', '마지막', '하찮', '직업', '이재명', '아들', '연예인', '댓글', '이재명', '총각', '사칭', '이재명', '황교익을', '관광공사', '사장', '직', '이재명', '대북', '송금', '혐의', '기소', '이재명', '러우', '전쟁', '젤렌스키', '탓', '이재명', '여성시대', '인증', '글', '작성', '이재명', '자신', '베', '출신', '이재명', '라고했냐', '이재명', '마누라', '전라도', '비하', '발언', '이재명', '김문기', '허위', '진술', '이재명', '부인', '법인', '카드', '사', '사용', '이재명', '부인', '공직', '선거법', '위반', '이재명', '총각', '사칭', '이재명', '장남', '도박', '성', '매매', '이재명', '조카', '일가족', '살인', '이재명', '조카', '살인', '변호', '이재명', '인천', '외지인', '곳', '비하', '이재명', '월', '원', '기본소득', '주장', '이재명', '경기도지사', '때', '경제', '성장', '마이너스', '경기도', '부채', '이재명', '베네수엘라', '대통령', '존경', '이재명', '대한민국', '기축', '통화', '국', '이재명', '김포', '공항', '수직', '이착륙', '같', '소리', '이재명', '거대', '야당', '방탄', '법', '개정', '이재명', '조사', '검사', '탄핵', '이재명', '국정', '마비', '번', '줄', '탄핵', '이재명', '형', '보수', '이재명', '북한', '김일성', '김정일', '노력', '폄훼', '말', '이재명', '북한', '사진', '이재명', '중국', '셰셰', '이재명', '산불', '피해자', '욕', '이재명', '존경', '존경', '줄', '외국', '이재명', '관상', '마피아', '이재명', '측근', '드럼통', '주변', '인물', '명', '의문사', '자살', '안', '사람', '자살', '이재명', '친형', '정신', '병원', '감금', '이재명', '간첩', '어딨', '국보법', '국정원', '폐지', '이재명', '미군', '점령군', '표현', '이재명', '주한', '미군', '철수', '이재명', '사드', '철회', '이재명', '중국', '새해', '인사', '이재명', '민주주의', '자유', '이재명', '토지', '국가', '환수', '분배', '이재명', '디아', '국민', '이재명', '삼성', '해체', '국유화', '이재명', '년', '강제', '전', '세입자', '법', '통과', '이재명', '주식', '부동산', '불로', '소득', '강제', '환수', '법', '추진', '이재명', '시민', '의자', '연설', '이재명', '전과', '범', '이재명', '이번', '전과', '범', '이재명', '무죄', '재판', '진행', '유죄', '재판', '정지', '말', '판사', '탄핵', '이재명', '삼권', '분립', '이재명', '법관', '명', '일반인', '이재명', '정치인', '나쁘', '짓', '좋', '이재명', '자기', '무죄', '거', '재판', '이재명', '유죄', '주', '판사', '탄핵', '이재명', '방탄복', '총', '쑈', '이재명', '연임', '푸틴', '평생', '이재명', '커피', '원가', '원', '이재명', '호텔', '경제', '이재명', '남한', '탱크', '북한', '이재명', '원전', '태양광', '풍력', '산림', '박살', '이재명', '돈', '살포', '코스피', '이재명', '남', '집', '불구경', '홍수', '구경', '싸움', '구경', '재밌', '이재명', '국채', '발행', '거', '국민', '거', '이재명', '욕', '이재명', '그만억까', '명']"
이재명,민주화운동 전과랑 음주운전 전과도 같나요,"['민주', '운동', '전과', '음주운전', '전', '같']"
이재명,하하하 신부님 한참 웃고 갑니다,['신부']
이재명,김문수 모세 형제님 화이팅,"['김문수', '모세', '형제']"
이재명,공산당한테 나라팔아먹는 놈만 아니면 누구든 대통령이 돼도 좋습니다,"['공산당', '나라', '놈', '대통령', '좋']"
이재명,선거에 참여한 모든 분들이 어떤 방해도 없이 공정하게 국민의 선택을 받을 수 있게 되기를 바라봅니다,"['선거', '참여', '분', '방해', '공정', '국민', '선택', '수', '있']"
이재명,부디 주님이 국민과 나라를 아끼고 불의에 맞서는 좋은 지도자를 종교계에도 정계에도 세워주시리라 믿습니다,"['주', '국민', '나라', '불의', '좋', '지도자', '종교', '정계']"
이재명,적재적소,['적재적소']
이재명,천주교 신자중에도 전광훈 구속되었다고 눈물흘리는 119에 전화해서 도지사 김문수라고 하질않나 경찰이 방역단속하는데 내가 국회의원3번한 사람이라고 관등성명 요구하는 사람을 지지하는 사람들이 있네요 나라망치는 내란당 용산이무기 지지하는 그런당을 이재명 죄 국짐이 고발한거 아닌가요 200백명이 넘는검사들이 죄만들어 구속시키려고 지금까지 쇼하고있는데요 정의사제구현사제단이 그렇게 국민의짐 내란당 내란좀비 청산 외치고 있는데요 세월호 이태원 진상 밝히지못하게 하는 내란당 자신들 이익챙기기위해 권력을 사용하고 내란쿠테타까지 일으킨 국민의짐 지금도 그들을 감싸는 내란당 해제가 답이고 이 나라가 살길이다,"['천주교', '신자', '중', '전광훈', '구속', '눈물', '전화', '도지사', '김문수', '경찰', '방역', '단속', '국회의원', '번', '사람', '관등', '성명', '요구', '사람', '지지', '사람', '있', '나라', '망치', '내란', '당', '용산', '무기', '지지', '당', '이재명', '죄', '국', '짐', '고발', '거', '명', '검사', '구속', '지금', '쇼', '정', '사제', '구현', '사제단', '국민', '짐', '내란', '내란', '좀비', '청산', '세월호', '이태원', '진상', '내란', '자신', '이익', '권력', '사용', '내란', '쿠테타', '국민', '짐', '지금', '내란', '해제', '답', '나라', '살길']"
이재명,아멘,[]
이재명,뭐하나 제대로된 공약이 없네,"['공약', '없']"
이재명,걍 울산은 버리겠다는거네 이재명 찍는 흑우있노,"['울산', '거', '이재명', '흑우있노']"
이재명,울산에서 이미 하고 있는것들이 대부분이고 뭐하나 필요한게 거의없네 울산 버리나보네,"['울산', '것', '대부분', '필요', '것', '없', '울산']"
이재명,친환경하다가 지금 석유화학 다 구조조정 하고 있는거 모르나보네,"['환경', '석유', '화학', '구조', '조정', '거']"
이재명,이미진행중인거도 있고 걍 실속없는 소리네,"['진행', '중', '거', '있', '실속', '없', '소리']"
이재명,이재명 후보라면 잘할거라 믿습니다,"['이재명', '후보', '거']"
이재명,의료원이라니 애들 다 죽일려고 그리고 의료원은 지금 현재진행상황 반구대 암각화도 진행중임 나머지도 뭔가 확실한게 없다 강화 발전 석유 자동차 조선업을 친환경,"['의료원', '애', '의료원', '현재', '진행', '상황', '반구대', '암각화', '진행', '중', '나머지', '것', '없', '강화', '발전', '석유', '자동차', '조선업', '환경']"
이재명,울주군 도심융합특구 조기완성 응원합니다,"['울주군', '도심', '융합', '특구', '조기', '완성', '응원']"
이재명,제발 이사람은 아니다,['사람']
이재명,이재명 구속,"['이재명', '구속']"
이재명,극단적이네,['극단']
이재명,저런 말은 나도하겠다,['말']
이재명,아니 불난집에 기름붓네 석유화학 산업 살려도 모자른판국에 친환경산업으로 변경한다고하면 잘나가는 조선소 접고 적자만들고 석자나서 줄도산중인 석유화학 산업 붕괴시키겠다는말임,"['불', '집', '기름', '석유', '화학', '산업', '판국', '환경', '산업', '변경', '조선소', '적자', '자', '줄', '산', '중', '석유', '화학', '산업', '붕괴', '말']"
이재명,거짓말 입만 열면 거짓말이네,"['거짓말', '입', '거짓말']"
이재명,각지역별 추진중인거 그냥 뺏겨쓰기 어짜피 안지킬공약들 일단 구라치고 대통령만되고 싸그리 무시하고 본격독재억압시작할계획임 그때되서 왜 공약안지키냐 공산화만들려고하냐 시민들 시위하면 바로 계엄후발포 또는구속임 그럼무서워서라도 다들 쉬쉬할수밖에없고 자연스럽게 공산국가되고 북한이랑 적화통일후 중국에 셰셰해야됨,"['지역', '추진', '중', '거', '쓰기', '공약', '구라', '대통령', '무시', '본격', '독재', '억압', '시작', '계획', '때', '공약', '공산', '시민', '시위', '계엄', '후', '발포', '구속', '수', '없', '자연', '공산', '국가', '북한', '적화', '통일', '후', '중국', '셰셰']"
이재명,동후니 몸에 잔뜩 힘이 들어간게 보이네,"['후', '몸', '힘', '것']"
이재명,아니 너무나 호기심 많은 어린이 관점으로 이건 뭐지 하고 천진난만하게 관찰하시는 거 아니에요,"['호기심', '많', '어린이', '관점', '천진난만', '관찰', '거']"
이재명,하 똥후나 너 존나웃기다잉,"['똥', '후']"
