platform,press,keyword,comment,tokens,score
news,기타,김문수,25세 세진전자 노조위원장 했던 자랑.스러운 당신.부인이 노조운동은.못생기고 쎈여자 들이나 하는거다.나는.예쁘고 문학적으로 생겨서 노조 운동.같은거.안한다 이렇게.말했다 당신과 당신 부인의 존재이유 노동운동을 비하하고 부정 했다 유시민이 그시대 여성 노동자를.비하.했다고? 당신 부인이 비하 한거야! 어떻게 자신의 존재 이유를 부정 하면서 까지 권력을 탐한다는 말이냐 그러면서 누굴 비난하는거냐!,"['세진전자', '노조', '위원장', '자랑', '부인', '노조', '운동', '못생기', '쎄', '여자', '예쁘', '문학', '생기', '노조', '운동', '부인', '존재', '이유', '노동', '운동', '비하', '부정', '유시민', '시대', '여성', '노동자', '비하', '부인', '비하', '어떻', '자신', '존재', '이유', '부정', '권력', '탐', '그러', '비난']",-3
news,기타,김문수,좀 나대지마라 김건희 보는듯해서 짜증나니까,"['나대', '김건', '희', '짜증', '나']",-2
news,기타,김문수,퍼스트 레이디 리스크가 결국 위해가 되서 이 선거가 치뤄지는데.. 나서지 말았어야지.. 문수씨.. 뭔 소린지 모르지???,"['퍼스트', '레이디', '리스크', '위해', '이', '선거', '치루', '나서', '문수', '소리', '모르']",0
news,기타,김문수,전광훈 따까리,"['전광훈', '따까리']",0
news,기타,김문수,김문수 당선 안되니 설난영도 영부인까지 못간다는게 뭐가 여성 노동자 비하냐. 다급한건 알겠는데 억지는 부리지 마라. 추해 보인다.,"['김문수', '당선', '설란', '영도', '영부인', '가', '여성', '노동자', '비하', '알', '억지', '부리', '추하', '보이']",-1
news,기타,김문수,그렇게휼륭한분이 남의부인흉을보고 깨끗한척한다요 조국만큼털면 엄청나올건데 여유부리네 전광훈교시를받고 나오신분이 교주님말씀잘따르고있다고 자백하네요 문수도 부부공동대통령할꺼야 꽉잡혀서 혼자서는아무것못하지 부인한테허락받고 국정운영할꺼야 전광훈말만따를꺼야 둘중하나 아닌가 정신챙겨라 문수야 진짜자격있다고생각하니 국짐당수준을니가보여주는거 몇표나받나보자,"['그렇', '휼', '융', '남', '부인', '흉', '조국', '털', '나오', '여유부리네', '전광훈', '교시', '받', '나오', '교주', '말씀', '자백', '문수', '부부', '공동', '대통령', '잡히', '혼자', '아무것', '부인', '허락', '받', '국정', '운영', '전광훈', '정신', '챙기', '문수', '자격', '생각', '국', '짐', '수준', '보이', '표', '받']",-1
news,기타,김문수,"유시민한테 도움받은건 맞고, 은혜입은건 잊으면 안되지. 출세했다고 쓴소리 좀 듣는것조차 용납못하면 그게 좀팽이 아녀? 부부가 쌍으로 벽창호에 외곬수네. 절대 옆에 둬선 안될인간들.","['유시민', '도움', '받', '맞', '은혜', '입', '잊', '출세', '쓴소리', '듣', '용납', '팽이', '부부', '쌍', '벽', '창호', '외곬', '수', '옆', '두', '인간']",3
news,기타,김문수,설할머니가 많이 설치는건 사실 ~ 솔직히 가만있음 더 낫지 않았을까싶어요,"['설', '할머니', '설치', '있', '낫']",0
news,기타,김문수,마귀같이 생겼음,"['마귀', '생기']",0
news,기타,김문수,윤석열도 그랬지. 윤석열이 김건희이고 김건희는 윤석열이고~ 그러다가 나라 말아먹은거야. 권위의식 쩌는 김문순대~님,"['윤석열', '그렇', '윤석열', '김건희', '김건희', '윤석열', '나라', '말아먹', '권위', '의식', '쩌', '김문순', '님']",0
news,기타,김문수,"자신은 노조조합장 출신이면서, 노조원을 하면 못생겼다고 비하했던 노동부장관 부인 설난영이 영부인이 되면 김건희 못지 않게 설쳐댈 것 같은 기시감은 유시민의 경험담을 듣기 전부터 들었다.","['자신', '노조', '조합장', '출신', '노조원', '못생기', '비하', '노동부', '장관', '부인', '나', '영', '영부인', '김건희', '설치', '기시감', '유시민', '경험담', '듣', '전', '들']",0
news,기타,김문수,그러니까. 왜 나대니 노조도 모르고. 노조는 뭐 어쩌구저쩌구. 방송나와서 상대후보자 부인 비방하고 그러니까 그런 소리 듣지. 처신 잘하세요. 부인 단속 잘 하고,"['나대', '노조', '모르', '노조', '방송', '나오', '상대', '후보', '부인', '비방', '그러', '소리', '듣', '처신', '부인', '단속']",-1
news,기타,김문수,설난영 이상한거 맞아요. 괴이합니다.,"['설', '이상', '맞']",0
news,기타,김문수,본인입으로 본인 훌륭하다고 ㅋㅋ 아이고 참 나이먹고 딱하다,"['본인', '입', '본인', '훌륭하', '나이', '먹']",0
news,기타,김문수,노조하다 뱃가죽에 기름기차니까 변절하는 인간들,"['노조', '뱃가죽', '기름', '기차', '변절', '인간']",0
news,기타,김문수,설여서가 김혜경여사 이름으로 삼행시지을때부터인격을 알아봤죠 아무리 상대후보라도 격하시키는 모습보면서 김건희가 생각나더라구요!! 적당히 나대시는게 김후보를 돕는거 아닌가싶네요 !!,"['설여서', '김혜경', '여사', '이름', '행시', '짓', '인격', '알아보', '상대', '후보', '격하', '모습', '김건희', '생각나', '나대', '김', '후보', '돕']",0
news,기타,김문수,"노조위원장 출신이라면서 노조는 과격하고 거칠고 못생겼지만, 자기는 문학적이고 예쁘고 부드럽다고 노조를 비하하면서 자기를 공중부양시키는 발언을 하나? 노동부장관 하면서 노동자들 무시하고 노조폄하하는 너하고 똑같이 변절자라는 자기고백이잖아. 그래서 니들이 부부가 됐나보다. 부창부수다.","['노조', '위원장', '출신', '노조', '거칠', '못생기', '문학', '예쁘', '부드럽', '노조', '비하', '공중부양', '발언', '노동부', '장관', '노동자', '무시', '노조', '폄하', '변절자', '고백', '부부', '부창부수']",2
news,기타,김문수,마귀할멈이 훌륭하다고 훌륭한 사람이 그딴 말도 안되는 소리를 지 껄이냐 본인은 이쁘고 노동자는 못생겼다 말 같지도 않은 말을 짓거리는 마누라가 참 훌륭하겠다 어쩜 그리 부부가 똑같을까,"['마귀', '할멈', '소리', '꺼리', '본인', '이쁘', '노동자', '못생기', '짓거리', '마누라', '부부', '똑같']",0
news,기타,김문수,주변에서 다들 설난영씨 보통아니다..김건희 저리가라다..라고 수근 거린다. 김건희에 데인 국민들은 설난영같이 나대는 영부인 솔직히 부담스럽다..김문수는 이래저래 당선은 어렵겠다고 본다..,"['주변', '김', '건의', '가', '라', '거리', '김건희', '데이', '국민', '설', '나대', '영부인', '부담', '김문수', '당선', '어렵']",-2
