platform,press,keyword,comment
news,연합뉴스,이재명,거짓말은 김문수가 하지 않나. 시대착오적이고 퇴행적인 역사무대에서 벌써 사라졌어야하는 놈
news,연합뉴스,이재명,문수야.. 가슴에 손을 얹고 생각해봐라. 니가 과연 이 나라의 대통령깜이니? 이제 그만하고 집에 돌아 가서 사랑한다는 부인과 백년 해로해라. 그게 당신의 인생에서의 최대 해피엔딩이다. 과욕을 부리고 거짓을 쌓아가면 끝이 좋지 않아. 이제 고마해.
news,연합뉴스,이재명,김문수 거짓쟁이에 사이비정신세계를 가지고있고 대한민국 뼈아픈 역사를 부정하는 이땅에서는 존재하지 말아야야할 인간 말종으로 관에담아 태평양 바다에 떠나 보내야할것이다.
news,연합뉴스,이재명,얼치기 촌놈이 어쩌다 그자리까지 갔냐? 국짐은 인물이 없냐? 얼떨결에 저자리에 올라 갔으니 정신이 없겠지먀 김푼수는 정말 아니다. 저런놈이 무슨 대통령이나 언감생심... 어눌한 말투에 생긴 것도 직쏘마누라에 딱 어울리는 무지랭이 촌 놈 국제사회에 우리나라 대통령이라고 내세우기에는 너무나 쪽 팔리는 놈이다.
news,연합뉴스,이재명,구속을해야지.
news,연합뉴스,이재명,문수형 거짓말 많이하드만
news,연합뉴스,이재명,내란동조 세력인 김문수가 심판받을 선거지!
news,연합뉴스,이재명,"아무렴 윤석열만 할까요?들리는 말도 아니라고 안했다고 하는 윤석열에게 쓴소리한번 못하고 어떻게 대통령 후보라고 나섯8는지 이해가 안가요ㅡ 한동훈,안철수,유시민,조경태,김재섭,김용태 같은분들은 소신반언 하던데 그들처럼만 햇더라도..,"
news,연합뉴스,이재명,네놈같은 기회주의적 배신자 ! 는 영원히 퇴출 !!
news,연합뉴스,이재명,윤썩열이 전광훈이 추종자 문수? 내란 제대로 사과했니?
news,연합뉴스,이재명,걍 찢당이랑 국짐 다사라지면안되냐? 꼴보기싫다 걍 국민생각은 1도안하고 갈라치기만 조성하는 꼬라지보면 답 나오지않냐?
news,연합뉴스,이재명,이번대선은 한일전 김문수 왈 일제시대 대한민국 국적은 일본이다 일본자민 대구경북지구당 정당해산 가자
news,연합뉴스,이재명,추방이 아니라 구속 시켜야 합니다. 범죄좌니까요.
news,연합뉴스,이재명,윤 밑에서 졸 노릇했던 사람들의 입에서 나올 소리는 아니지 않나?
news,연합뉴스,이재명,문수 나이만이먹고 추해보인다. 자넨 산골짜기 반장이 적격이여.
news,연합뉴스,이재명,넌치매검사부터받아보거라 니마누라도같이 너무나내다넘어지면 수리불가 지금두견적안나와
news,연합뉴스,이재명,당신과 그세력들도 사라지길
news,연합뉴스,이재명,어디서 멍소리가 들리네
news,연합뉴스,이재명,김문순대 야 말로 거짓말이 일상이다.
news,연합뉴스,이재명,4050은 진짜 ㅋㅋ 너도 거짓말 했짢아로 응수하는 수준ㅋㅋㅋ
news,연합뉴스,이재명,살아온인생을 보면 누굴찍어야할지 알수있다범죄자 이재명이냐 업적미담뿐인 김문수냐 기호2번 김문수!!!!
news,연합뉴스,이재명,우리 멀티버스최고권능 전광훈목사신님께 아멘!
news,연합뉴스,이재명,입에침좀 바르고 거짓말해라ㅋㅋㅋ 진짜 니들 너무허네 국힘아~ ㅋ 요즘 유세에서도 이재명 응원하던데ㅋㅋ
news,연합뉴스,이재명,이재명 거짓말쟁이 정치권에서 영원히 떠나라!
news,연합뉴스,이재명,누굴 까는거냐 ㅋㅋ
news,연합뉴스,이재명,거짓말 하셨잖아요?
