platform,press,keyword,comment
news,동아일보,이재명,펨코발 늬우스 ㅋㅋㅋㅋㅋ 믿고 받아쓰는 동아일보 수준 ㅋㅋㅋㅋㅋ 에효 ㅉㅉㅉ 수준 참 처참하다
news,동아일보,이재명,도대체 뭘 잘해서 경제는 이재명이냐 이정도면 부채는 이재명 아니냐? 진짜 경제는 김문수이고
news,동아일보,이재명,거북섬 만든건 국힘 그거 살려보겠다고 사업유치한건이재명 근데 경제 망쳐서 공실만든건 윤석열
news,동아일보,이재명,서울 명동의 공실률과 압구정동 상가공실률도 상당하다. 이것은 윤석열 과 국민의 힘이 정치를 잘못 했기 때문이다. 이들이 실력이 없어 나라 경제를 망쳤기 때문이다.
news,동아일보,이재명,"법카로 삼시세끼 해결하면서 내수를 활성화한 치적, 여배우와 공짜연애를 하면서 비용절감한 치적, 5개의 재판을 요리조리 피하면서 대한민국 사법부의 문제점을 드러낸 치적은 왜 자랑을 안해??"
news,동아일보,이재명,"그동안 그나마 형수님 보물지도같은 폐륜적 욕설이나 비호감적 행위에도 불구하고 일은 잘한다, 말은잘한다 그 이미지로 밀고왔는데 일은 막상 까보니 김문수한테 밀리고(이렇게 한게 많은지 처음알았네 소록도가서 맨발로 청소했다는거도 이번에 알음) 말은 이준석한테 밀리고(준돌이가 뭐 물어볼라고 할때마다 움찔움찔하는거 진짜 웃김ㅋㅋ) 그동안 포장 잘되어온게 이번에 제대로 벗겨지는것일뿐~ 애초부터 개딸들이 만든 허상에 불과.. 잘생기기라도 했냐?? 그것도 아님"
news,동아일보,이재명,"16억 '영끌' 상가, 경매서 3억원으로…거북섬에서 무슨 일이 https://n.news.naver.com/mnews/article/008/0005177178 지난해 1월 기준 거북섬 일대 3253개 점포 가운데 입점률은 13%에 불과하고 공실률은 무려 87%인 것으로 나타났다. ⬅ 찢이 자신의 치적으로 내세운 거북섬 개발의 처참한 현실. 이외 대장동이며 백현동이며 찢이 손댄 모든 곳은 비리와 실패 투성이고 찢은 이를 막대한 혈세를 홍보비로 써서 감추어왔다"
news,동아일보,이재명,거북섬 최근에 어디서 많이 들어본거 같은데 왜 익숙할까 곰곰히 생각해보니까 최근에 유령도시나 괴담 미스테리 이야기를 주로 올리는 유튜버 최프진 채널에 여기 거북섬이 유령도시로 유명하고 공실율높은곳 이라는 영상을 봤던 기억이 갑자기 생각났음ㅋ 이런 우연의 일치가 있나ㅋ 그사람은 이런 정치적이슈 생각도 못하고 그냥 우연히 올린거일텐데 말야 이런이슈 터지기전 이미 3주전에 올린영상이었음 링크 06:10분 부터 보면 유령도시 거북섬영상 나옴 사람한명도없음ㅋ https://www.youtube.com/watch?v=NgHVQXv5uEc
news,동아일보,이재명,이재명 탈출은 지능순이다
news,동아일보,이재명,정말 공감능력이 이리도 없을까? 거북섬 망한 사례로 손꼽히는 곳인데 이걸 좋아라 하는거보면 저기서도 대장동처럼 지한테만 좋은 뭔가가 있었나보네. 이제명처럼 극단적인 자기도취형 인물은 세상 모든것이 자기성공을 위한 수단일뿐. 대통되면 바로 찢틀러 되는거임
